gene,kME
GAL3ST4,0.887
AIRIM,0.887
CCDC14,0.887
MFGE8,0.887
BBS4,0.887
HNRNPLL,0.886
RAB11FIP4,0.886
SESN3,0.886
NCOA7,0.886
STPG1,0.886
FAN1,0.886
NUCKS1,0.886
RPS6KA5,0.885
PELP1,0.885
CFAP97,0.885
GALNT11,0.885
SNX24,0.884
CAMK2N1,0.884
TSHZ2,0.884
CIAPIN1,0.884
SLC46A3,0.884
BICD1,0.884
RNF8,0.884
RAD51C,0.884
MBD5,0.884
ATN1,0.883
CCDC127,0.883
PDIK1L,0.883
ZNF137P,0.882
USP45,0.882
ACER2,0.881
PLXNA1,0.881
HADH,0.881
CYB5D1,0.88
PRXL2B,0.88
ZNF346,0.88
SARM1,0.879
ZNF611,0.879
MRPL49,0.879
TAMM41,0.879
MARS2,0.878
FAM221A,0.878
LYRM4,0.878
SATB1,0.877
ZNF416,0.877
ACTR1B,0.877
DNMT3A,0.877
ANKRD13C-DT,0.877
ADTRP,0.877
PLXDC1,0.876
SAV1,0.876
CAPRIN2,0.876
KLHDC10,0.876
PBXIP1,0.876
INVS,0.876
ZCCHC14,0.875
LSS,0.875
ZFP90,0.875
TTC1,0.875
ATP1A1,0.874
OPTN,0.874
PI16,0.874
MAP4K5,0.874
DHX30,0.874
C2CD5,0.874
ZMAT1,0.874
GIT1,0.873
RAB5B,0.873
SRP68,0.873
AP2A2,0.873
COX20,0.873
TBC1D4,0.873
TMEM106C,0.873
C6orf89,0.872
POLR3A,0.872
METAP1D,0.872
RRAGA,0.872
SMAP1,0.871
PNPLA4,0.871
TMEM65,0.871
UNG,0.871
SETMAR,0.871
CYB5B,0.87
ZKSCAN5,0.87
DMTN,0.87
CHCHD7,0.87
MAN1C1,0.87
MIPEP,0.869
EBNA1BP2,0.869
ZNF444,0.868
BIN1,0.868
FAM219B,0.867
WDR59,0.867
PPP2R2A,0.867
CYP4V2,0.866
DAAM1,0.866
IFT74,0.866
LEO1,0.865
PRPSAP2,0.865
CLPX,0.865
RDH11,0.865
TMEM50B,0.865
ACBD6,0.865
ITPKB,0.865
IGSF8,0.865
MRPS9,0.865
SCYL3,0.864
RNFT2,0.864
TTC27,0.863
PRMT5,0.863
FHIT,0.863
GPA33,0.862
CACNB3,0.862
DONSON,0.862
DLAT,0.862
MIR600HG,0.862
SETDB2,0.862
AHCTF1,0.861
SELENOH,0.861
TTC19,0.861
ENTPD5,0.861
SWT1,0.861
NIPA1,0.86
FAM168B,0.86
TTC12,0.86
ZNF480,0.86
TRIB2,0.859
ZHX1,0.858
LINC00526,0.858
MPHOSPH8,0.857
THOP1,0.857
RO60,0.856
ZNF569,0.856
LPIN2,0.856
TOP2B,0.855
LPCAT4,0.855
ENDOD1,0.855
EIF2S2,0.855
LUC7L3,0.855
PITRM1,0.855
EID1,0.854
ZNF493,0.854
ZFP2,0.854
UBXN8,0.854
TRUB1,0.853
JRKL,0.852
LRATD2,0.852
VEZT,0.852
PTOV1,0.852
JAM3,0.852
USP21,0.851
DHCR7,0.851
DDX24,0.851
TYW3,0.851
ZNF32,0.851
PA2G4,0.85
CHD6,0.85
SNAPC5,0.849
ASB1,0.849
ZFR,0.849
KIF16B,0.848
RTTN,0.848
ACVR2A,0.847
INPP4B,0.846
ZNF626,0.846
MPHOSPH10,0.846
TTC39B,0.846
CSRNP2,0.846
RPAP1,0.846
PPP1R3E,0.846
SOS1,0.845
FBXO31,0.845
PCBP4,0.844
SSBP2,0.844
PATJ,0.844
RBMX2,0.844
ECPAS,0.843
ZMYM3,0.843
FRYL,0.843
NIFK,0.843
MAP2K5,0.843
ERLEC1,0.843
ZNF304,0.843
MRNIP,0.843
PEX14,0.843
ZNF135,0.842
XKR6,0.841
PITPNC1,0.841
UBQLN2,0.841
PLRG1,0.841
KATNAL1,0.84
DNAJB2,0.84
VTA1,0.84
DPY19L2P2,0.84
PPM1K,0.84
KIAA1191,0.839
SMARCA5,0.839
SORBS3,0.839
TTC14,0.839
RAB14,0.839
SLC25A26,0.838
PRKAB2,0.838
AGBL5,0.836
WDCP,0.836
BCL11B,0.836
AVEN,0.836
PFKP,0.835
DLG3,0.835
C12orf57,0.835
SMARCA2,0.835
TMEM63A,0.835
MFSD6,0.834
RABEPK,0.834
CACNA1I,0.833
RABEP1,0.833
AAK1,0.833
NOG,0.832
NABP2,0.832
CMTM8,0.832
LTN1,0.832
GATAD2B,0.831
SCAND2P,0.831
CEP43,0.831
UBAP2,0.831
ANKRD27,0.831
MLEC,0.83
ZNF671,0.83
TLE5,0.83
EEF1AKMT1,0.83
ZNF75D,0.83
