logFC,AveExpr,t,P.Value,adj.P.Val,B,feature,dir
0.00251493848764962,10.3181535084681,9.03427971904691,3.82305278715366e-19,3.62745473757835e-17,29.3201856380653,CTNNA1,up
0.0020700849830436,7.94190304243689,9.00996255359121,4.73174802064348e-19,4.45512275174433e-17,29.1093610688317,GIT1,up
0.00186601872881316,7.14167071082744,8.99145660825839,5.56353513811631e-19,5.19829542675905e-17,28.9492692799418,REEP3,up
0.00267825774267923,8.12731275332255,8.98532957106375,5.86958174960919e-19,5.44270307691034e-17,28.8963321529527,TSHZ3,up
-0.00281689251794923,7.58989407827219,-8.96375528213103,7.08570488841609e-19,6.52097953640699e-17,28.710196711055,CR2,down
0.00229008792175146,7.81322312941879,8.96176149855048,7.20993665445394e-19,6.58579288436689e-17,28.6930158628217,ATP1A3,up
0.00192591898996043,8.60086660770093,8.94938823954698,8.03049652348202e-19,7.2809835146237e-17,28.5864717083589,CAMSAP1,up
0.00255782931421527,8.11113738285111,8.92551532029157,9.88314111439033e-19,8.89482700295129e-17,28.3812894914459,TSPAN7,up
0.0019905191775576,9.42871288523948,8.91975450863012,1.03900453124165e-18,9.28278500904946e-17,28.3318523709828,SPAG9,up
0.0022318736399211,8.16720492535554,8.91617923532277,1.07174749904621e-18,9.5059343393664e-17,28.3011855293699,MAN2A2,up
0.00209030310331638,7.79214741981891,8.91113609486565,1.11967396753359e-18,9.85957508101524e-17,28.2579473712348,DDAH1,up
0.00187387244877406,7.56794806581063,8.90671138497787,1.16346386747e-18,1.01719983841663e-16,28.2200300169324,ABCA8,up
0.00308436518358483,10.125715935797,8.89167526677768,1.32530564553826e-18,1.15047809229704e-16,28.0913085638835,GAS7,up
0.00204651177621409,9.12125401280659,8.86208677059131,1.71147901759161e-18,1.46493029198051e-16,27.8385932402122,RTL8C,up
0.00227726103323375,8.85150940501315,8.86223674046017,1.70926551880998e-18,1.46493029198051e-16,27.8398721713469,KIF13B,up
-0.00243665174916958,6.62041824586633,-8.83247228911878,2.20897664026825e-18,1.87763014422801e-16,27.5864351042311,CRTAM,down
0.00205713768283104,8.54659522657683,8.81220653290024,2.62926670478743e-18,2.21946375631711e-16,27.414327996833,CIC,up
0.00187701708496908,10.2391019551461,8.77154878829766,3.72495486667719e-18,3.12283887452937e-16,27.0701441593795,PTPN11,up
0.00258901334512075,7.61349613485792,8.75940271796906,4.13232028442562e-18,3.44078913478705e-16,26.9676085084086,FXYD6,up
