gsm,gse,Age,Sex,AgeBin
GSM1147816,GSE47353,23,F,"[20,30)"
GSM1147817,GSE47353,23,F,"[20,30)"
GSM1147818,GSE47353,23,F,"[20,30)"
GSM1147819,GSE47353,23,F,"[20,30)"
GSM1147820,GSE47353,23,F,"[20,30)"
GSM1147821,GSE47353,24,M,"[20,30)"
GSM1147822,GSE47353,24,M,"[20,30)"
GSM1147823,GSE47353,24,M,"[20,30)"
GSM1147824,GSE47353,24,M,"[20,30)"
GSM1147825,GSE47353,25,F,"[20,30)"
GSM1147826,GSE47353,25,F,"[20,30)"
GSM1147827,GSE47353,25,F,"[20,30)"
GSM1147828,GSE47353,25,F,"[20,30)"
GSM1147829,GSE47353,25,F,"[20,30)"
GSM1147830,GSE47353,23,M,"[20,30)"
GSM1147831,GSE47353,23,M,"[20,30)"
GSM1147832,GSE47353,23,M,"[20,30)"
GSM1147833,GSE47353,23,M,"[20,30)"
GSM1147834,GSE47353,26,F,"[20,30)"
GSM1147835,GSE47353,26,F,"[20,30)"
GSM1147836,GSE47353,26,F,"[20,30)"
GSM1147837,GSE47353,26,F,"[20,30)"
GSM1147838,GSE47353,26,F,"[20,30)"
GSM1147839,GSE47353,33,M,"[30,40)"
GSM1147840,GSE47353,33,M,"[30,40)"
GSM1147841,GSE47353,33,M,"[30,40)"
GSM1147842,GSE47353,33,M,"[30,40)"
GSM1147843,GSE47353,33,M,"[30,40)"
GSM1147844,GSE47353,24,M,"[20,30)"
GSM1147845,GSE47353,24,M,"[20,30)"
GSM1147846,GSE47353,24,M,"[20,30)"
GSM1147847,GSE47353,24,M,"[20,30)"
GSM1147848,GSE47353,24,M,"[20,30)"
GSM1147849,GSE47353,56,F,"[50,60)"
GSM1147850,GSE47353,56,F,"[50,60)"
GSM1147851,GSE47353,56,F,"[50,60)"
GSM1147852,GSE47353,56,F,"[50,60)"
GSM1147853,GSE47353,56,F,"[50,60)"
GSM1147854,GSE47353,24,F,"[20,30)"
GSM1147855,GSE47353,24,F,"[20,30)"
GSM1147856,GSE47353,24,F,"[20,30)"
GSM1147857,GSE47353,24,F,"[20,30)"
GSM1147858,GSE47353,24,F,"[20,30)"
GSM1147859,GSE47353,31,F,"[30,40)"
GSM1147860,GSE47353,31,F,"[30,40)"
GSM1147861,GSE47353,31,F,"[30,40)"
GSM1147862,GSE47353,31,F,"[30,40)"
GSM1147863,GSE47353,31,F,"[30,40)"
GSM1147864,GSE47353,44,F,"[40,50)"
GSM1147865,GSE47353,44,F,"[40,50)"
GSM1147866,GSE47353,44,F,"[40,50)"
GSM1147867,GSE47353,44,F,"[40,50)"
GSM1147868,GSE47353,44,F,"[40,50)"
GSM1147869,GSE47353,38,M,"[30,40)"
GSM1147870,GSE47353,38,M,"[30,40)"
GSM1147871,GSE47353,38,M,"[30,40)"
GSM1147872,GSE47353,38,M,"[30,40)"
GSM1147873,GSE47353,38,M,"[30,40)"
GSM1147874,GSE47353,23,M,"[20,30)"
GSM1147875,GSE47353,23,M,"[20,30)"
GSM1147876,GSE47353,23,M,"[20,30)"
GSM1147877,GSE47353,23,M,"[20,30)"
GSM1147878,GSE47353,23,M,"[20,30)"
GSM1147879,GSE47353,22,M,"[20,30)"
GSM1147880,GSE47353,22,M,"[20,30)"
GSM1147881,GSE47353,22,M,"[20,30)"
GSM1147882,GSE47353,22,M,"[20,30)"
GSM1147883,GSE47353,22,M,"[20,30)"
GSM1147884,GSE47353,33,M,"[30,40)"
